feature,MI,nMI,nMI_source,H_Y_nats,eval_split,perm_macroF1_drop_mean,perm_macroF1_drop_std,perm_macroF1_baseline,rank_nMI,rank_perm_macroF1_drop,nMI_norm,perm_norm,nMI_plus_perm_norm,group_id,group_name
stft_centroid_std_Hz,0.4241138476347688,0.5082644219718029,trainval,0.8344354420666049,test,0.04822977403955,0.0042509787497787,0.970556108470872,25,1,0.7258325914824564,0.999999999979266,1.7258325914617223,10,STFT-based Time–Frequency Dynamics (5)
strong_bins_mean,0.3239737159789524,0.3882549801295386,trainval,0.8344354420666049,test,0.0031793294029466,0.0029243259442408,0.970556108470872,30,4,0.554451789661222,0.0659204706261649,0.6203722602873869,10,STFT-based Time–Frequency Dynamics (5)
stft_centroid_absderiv_med_Hzps,0.2170015392422468,0.2600579125747702,trainval,0.8344354420666049,test,-0.0006977917876589,0.0007452108486148,0.970556108470872,50,72,0.3713785589937187,-0.0144680708450391,0.3569104881486795,10,STFT-based Time–Frequency Dynamics (5)
stft_centroid_zcr_per_s,0.1110343176104091,0.1330651983518533,trainval,0.8344354420666049,test,0.0007302189212725,0.000793951455185,0.970556108470872,60,15,0.1900252183325374,0.0151404176320345,0.2051656359645719,10,STFT-based Time–Frequency Dynamics (5)
fh_hop_rate_per_s,0.0781186320259501,0.0936185450518228,trainval,0.8344354420666049,test,0.0,0.0,0.970556108470872,62,46,0.1336929917348246,0.0,0.1336929917348246,10,STFT-based Time–Frequency Dynamics (5)
