feature,MI,nMI,nMI_source,H_Y_nats,eval_split,perm_macroF1_drop_mean,perm_macroF1_drop_std,perm_macroF1_baseline,rank_nMI,rank_perm_macroF1_drop,nMI_norm,perm_norm,nMI_plus_perm_norm,group_id,group_name
tkeo_env_mean,0.4867131844592658,0.583284409940507,trainval,0.8344354420666049,test,3.747688626043466e-06,0.0012500715833625,0.970556108470872,16,43,0.8329657094549122,7.770487630509174e-05,0.8330434143312173,7,"Cyclostationarity, Cumulants, Spectral Kurtosis, TKEO (7)"
spec_kurtosis_mean,0.1807856130725347,0.216656201257214,trainval,0.8344354420666049,test,0.0107942722774491,0.0012723032040493,0.970556108470872,51,2,0.309398268344646,0.2238093064332771,0.5332075747779232,7,"Cyclostationarity, Cumulants, Spectral Kurtosis, TKEO (7)"
cyclo_2chip_corr,0.2216134838563745,0.2655849364541797,trainval,0.8344354420666049,test,-0.0001120022407021,0.0007430293389361,0.970556108470872,49,55,0.3792714861634268,-0.0023222634343659,0.3769492227290608,7,"Cyclostationarity, Cumulants, Spectral Kurtosis, TKEO (7)"
spec_kurtosis_max,0.1395800825757216,0.1672748729728336,trainval,0.8344354420666049,test,-0.0004073154892239,0.0009758373566404,0.970556108470872,54,67,0.2388787199952906,-0.0084453119950653,0.2304334080002253,7,"Cyclostationarity, Cumulants, Spectral Kurtosis, TKEO (7)"
cyclo_chip_corr,0.0613849897193834,0.0735646961104076,trainval,0.8344354420666049,test,0.0002467627677579,0.0005978575683017,0.970556108470872,65,31,0.1050548724466864,0.0051163990017963,0.1101712714484828,7,"Cyclostationarity, Cumulants, Spectral Kurtosis, TKEO (7)"
cumulant_c42_mag,0.0422655251974546,0.0506516418966789,trainval,0.8344354420666049,test,0.000386577105069,0.0006194755351687,0.970556108470872,68,23,0.0723336336587954,0.0080153206760622,0.0803489543348577,7,"Cyclostationarity, Cumulants, Spectral Kurtosis, TKEO (7)"
cumulant_c40_mag,0.0438185423939598,0.0525128010927204,trainval,0.8344354420666049,test,-0.0003619898495381,0.0006878679575817,0.970556108470872,67,65,0.0749914824950045,-0.0075055265495083,0.0674859559454962,7,"Cyclostationarity, Cumulants, Spectral Kurtosis, TKEO (7)"
