feature,|corr|,MI,corr_norm,mi_norm,MICC,perm_importance,mean_abs_SHAP
spec_gini,0.8265771517232573,0.9300503527340052,1.0,0.9238911082477181,0.9619455541238591,-0.0008333333333333415,0.011337538242282189
nb_peak_count,0.7978068400692612,0.9373988734075274,0.9651934346430754,0.931190963453497,0.9481921990482862,-0.001333333333333364,0.0003882886154966053
spec_spread_Hz,0.7979920745784431,0.9117054471447075,0.9654175329124212,0.9056676915200399,0.9355426122162305,-0.0008333333333333526,0.0005047113520276668
spec_rolloff95_Hz,0.7846732874753065,0.8988331425490053,0.9493043520975759,0.8928806335681068,0.9210924928328413,0.0,0.00027028740830985817
spec_entropy,0.6756453885822513,1.0066666346621398,0.8174014817293924,1.0,0.9087007408646962,0.0,0.001952434750439277
ZCR_I,0.7497156779705826,0.8356790352141406,0.9070123416883311,0.8301447633601301,0.8685785525242307,-0.0011666666666666937,0.00021849394054220623
instf_std_Hz,0.7621763592685049,0.750745543585734,0.9220873788726329,0.7457737425038441,0.8339305606882386,-0.001333333333333364,0.0018212146083442632
bandpower_7,0.7466212481533789,0.7116474000105579,0.9032686744326462,0.7069345257970162,0.8051016001148312,-0.0011666666666666937,0.0008091167628749233
spec_flatness,0.7982631285750128,0.6407940298202834,0.9657454563204232,0.6365503809862025,0.8011479186533128,-0.001000000000000023,0.0014817950913511093
env_ac_peak,0.7041677594420973,0.7476651604356781,0.851908086225273,0.7427137591449144,0.7973109226850937,-0.001000000000000023,0.00044969293568532324
bandpower_0,0.7387535110542514,0.6776019568488145,0.8937502198241142,0.6731145480710535,0.7834323839475839,0.0,0.00016501159986366263
bandpower_1,0.7824695140856147,0.6185423179437022,0.9466382084894477,0.6144460307371755,0.7805421196133115,0.0,0.000222429947651051
ZCR_Q,0.6827538198047478,0.7352924062599298,0.8260013216931232,0.7304229433477852,0.7782121325204543,0.0,0.03532503557740302
bandpower_6,0.7882429633537836,0.5820342748864837,0.9536229760409489,0.5781797616465432,0.765901368843746,-0.002333333333333332,0.004768792166661217
bandpower_2,0.6330833014764111,0.7312087899821247,0.7659095102696124,0.7263663707574206,0.7461379405135165,-0.0015000000000000347,0.00032223016683898144
stft_centroid_std_Hz,0.3858385247769759,0.9690216674732788,0.4667906969997603,0.9626043360407037,0.7146975165202321,0.034499999999999996,0.08589065924717404
tkeo_env_mean,0.6429706962358314,0.6368286273165022,0.7778713637261312,0.6326112393009196,0.7052413015135254,-0.0016666666666667052,0.015619961982958364
instf_kurtosis,0.40678533231566566,0.9213601136056235,0.49213232118453193,0.915258420097387,0.7036953706409594,-0.000666666666666682,0.011295957498685323
strong_bins_mean,0.5170242167417414,0.7730792770946162,0.6255002520500881,0.7679595711981446,0.6967299116241163,-0.0023333333333333426,0.019382035632971792
spec_peak_power,0.38237016061165635,0.9146075411157653,0.46259464082026314,0.9085505664173804,0.6855726036188218,0.0,0.029792975338527393
bandpower_3,0.5282909995798509,0.7345250112298016,0.6391309008220999,0.7296606303797134,0.6843957656009066,-0.002333333333333332,0.0018345212831776011
bandpower_4,0.5043538212543465,0.6960855072814027,0.610171500873045,0.6914756914686309,0.650823596170838,-0.001000000000000023,0.004132583650364152
stft_centroid_absderiv_med_Hzps,0.4192770116181551,0.7748790537341845,0.5072448600158397,0.7697474288439604,0.6384961444299,-0.000333333333333341,0.0012338174747742294
nb_peak_salience,0.226582980667485,0.9346617960148269,0.2741219984064431,0.928472012314703,0.6012970053605731,-0.000333333333333341,0.02397087625264576
env_ac_lag_s,0.524135810621443,0.47157144965766196,0.6341039182231433,0.46844847481801366,0.5512761965205785,-0.000333333333333341,0.00025672386768773193
env_gini,0.09202015443891687,0.993332844543543,0.11132675787985698,0.9867545127061136,0.5490406352929853,0.0,0.00017558264414010267
mag_std,0.07671448253835958,0.9799026402417423,0.09280982710255706,0.9734132497305028,0.5331115384165299,-0.0008333333333333415,0.006303594795165538
env_mod_index,0.0730225762298768,0.9805445926872718,0.08834332775547754,0.9740509508556076,0.5311971393055426,0.0,7.466841180507162e-05
mag_mean,0.0640547324396399,0.980459774082856,0.0774939548063939,0.9739666939611251,0.5257303243837596,-0.0008333333333333526,0.004576629360482123
oob_ratio,0.1007145899780143,0.9116600833928667,0.12184535922393136,0.9056226281889641,0.5137339937064478,-0.0018333333333333535,0.006899202306183554
instf_dZCR_per_s,0.3667921973852502,0.5325235387857166,0.4437482897035779,0.5289969096516679,0.4863725996776229,0.0,0.0002243664513337807
kurtQ,0.11419145678044772,0.8305767569969771,0.138149786190412,0.8250762749037943,0.48161303054710314,0.0,0.005664003997326513
crest_env,0.2760512501446262,0.6108708450786766,0.3339691274663369,0.6068253620859291,0.470397244776133,0.0,9.479283390955012e-05
pre_rms,0.3694694086215086,0.4719985432047522,0.44698720240601214,0.46887273994450573,0.4579299711752589,-0.0010000000000000009,0.0348792563053518
env_p95_over_p50,0.02148955161703804,0.850833352212965,0.025998240542018835,0.8451987211223346,0.4355984808321767,0.0,0.0003698218249080284
kurtI,0.19878156838337363,0.6221503489499804,0.240487615667759,0.618030167612328,0.4292588916400435,-0.002333333333333332,0.000904107013770407
PAPR_dB,0.20067307625857075,0.6116914603598949,0.24277597782639562,0.6076405428547778,0.4252082603405867,-0.001333333333333331,0.0029270901808040434
bandpower_5,0.012281788215567923,0.8349749716741124,0.014858610826542584,0.8294453624703166,0.4221519866484296,-0.0008333333333333526,0.010930616623342448
spec_peakiness_ratio,0.15735022174819488,0.6478446245232696,0.19036362355304567,0.6435542832317086,0.41695895339237715,-0.0005000000000000115,0.00011610515933005338
