feature,MI,nMI,nMI_source,H_Y_nats,eval_split,perm_macroF1_drop_mean,perm_macroF1_drop_std,perm_macroF1_baseline,rank_nMI,rank_perm_macroF1_drop,nMI_norm,perm_norm,nMI_plus_perm_norm,group_id,group_name
nb_peak_count,0.54084871036074,0.6481612394378249,trainval,0.8344354420666049,test,-0.0010126118315609,0.0009406396473885,0.970556108470872,4,75,0.9256137785417076,-0.0209955748643898,0.9046182036773176,6,"Narrowband Peaks, AM & Chirp Features (8)"
env_mod_index,0.3191646304938382,0.3824916996614849,trainval,0.8344354420666049,test,0.0,0.0,0.970556108470872,31,45,0.5462214736746356,0.0,0.5462214736746356,6,"Narrowband Peaks, AM & Chirp Features (8)"
nb_spacing_std_Hz,0.2726941660378439,0.3268007952328532,trainval,0.8344354420666049,test,-0.000324459933465,0.0007668582091215,0.970556108470872,39,61,0.4666914657968107,-0.0067273782620719,0.4599640875347388,6,"Narrowband Peaks, AM & Chirp Features (8)"
nb_spacing_med_Hz,0.2639531641778461,0.3163254469682236,trainval,0.8344354420666049,test,-0.0007694762462136,0.0001892611321883,0.970556108470872,41,73,0.4517320296275422,-0.0159543821533699,0.4357776474741722,6,"Narrowband Peaks, AM & Chirp Features (8)"
chirp_slope_Hzps,0.1429616411417231,0.1713273836831009,trainval,0.8344354420666049,test,-0.0010668349958392,0.0004683265858195,0.970556108470872,52,77,0.2446659524351148,-0.0221198422978776,0.2225461101372372,6,"Narrowband Peaks, AM & Chirp Features (8)"
chirp_r2,0.0164538944582763,0.0197185949071456,trainval,0.8344354420666049,test,-0.0003304906650449,0.0007228683992338,0.970556108470872,74,63,0.0281593560814695,-0.0068524199339405,0.021306936147529,6,"Narrowband Peaks, AM & Chirp Features (8)"
env_dom_peak_norm,0.0034222921330795,0.004101326430483,trainval,0.8344354420666049,test,0.0,0.0,0.970556108470872,76,44,0.0058569442653574,0.0,0.0058569442653574,6,"Narrowband Peaks, AM & Chirp Features (8)"
env_dom_freq_Hz,0.0,0.0,trainval,0.8344354420666049,test,0.0,0.0,0.970556108470872,78,47,0.0,0.0,0.0,6,"Narrowband Peaks, AM & Chirp Features (8)"
