feature,MI,nMI,nMI_source,H_Y_nats,eval_split,perm_macroF1_drop_mean,perm_macroF1_drop_std,perm_macroF1_baseline,rank_nMI,rank_perm_macroF1_drop,nMI_norm,perm_norm,nMI_plus_perm_norm,group_id,group_name
nb_peak_salience,0.5309653336834133,0.6363168519884507,trainval,0.8344354420666049,test,0.0005798271909129,0.0012425209035482,0.970556108470872,7,18,0.908699270924689,0.0120221834426486,0.9207214543673377,5,"Envelope, Cepstrum, Pulse & Narrowband Salience (4)"
dme_duty,0.0333442266844459,0.0399602234078935,trainval,0.8344354420666049,test,0.0002079131381912,0.0004564112495137,0.970556108470872,69,36,0.0570656360322193,0.0043108876690253,0.0613765237012447,5,"Envelope, Cepstrum, Pulse & Narrowband Salience (4)"
dme_pulse_count,0.0193919263285478,0.0232395765459347,trainval,0.8344354420666049,test,-0.0002119167606452,0.0003237081988955,0.970556108470872,70,57,0.0331875325915032,-0.0043938990978285,0.0287936334936746,5,"Envelope, Cepstrum, Pulse & Narrowband Salience (4)"
cep_peak_env,0.0,0.0,trainval,0.8344354420666049,test,0.0,0.0,0.970556108470872,77,48,0.0,0.0,0.0,5,"Envelope, Cepstrum, Pulse & Narrowband Salience (4)"
