feature,MI,nMI,nMI_source,H_Y_nats,eval_split,perm_macroF1_drop_mean,perm_macroF1_drop_std,perm_macroF1_baseline,rank_nMI,rank_perm_macroF1_drop,nMI_norm,perm_norm,nMI_plus_perm_norm,group_id,group_name
kurtI,0.2633218607556786,0.3155688834399489,trainval,0.8344354420666049,test,0.0002452003453963,0.0005306778948623,0.970556108470872,42,32,0.4506516107695423,0.0050840036113411,0.4557356143808834,8,Higher-order I/Q Stats & Circularity (6)
kurtQ,0.2644332198043693,0.3169007528604737,trainval,0.8344354420666049,test,-0.0003248123074344,0.0007139527908764,0.970556108470872,40,62,0.452553601527159,-0.0067346844121914,0.4458189171149676,8,Higher-order I/Q Stats & Circularity (6)
circularity_phase_rad,0.1275576268939171,0.1528669810309129,trainval,0.8344354420666049,test,0.0005846377249069,0.0008046550026443,0.970556108470872,58,17,0.218303371625572,0.0121219254399862,0.2304252970655582,8,Higher-order I/Q Stats & Circularity (6)
circularity_mag,0.0458309696386218,0.0549245242089844,trainval,0.8344354420666049,test,0.0001530807980163,0.0006105884482734,0.970556108470872,66,39,0.0784355701858662,0.0031739895336774,0.0816095597195437,8,Higher-order I/Q Stats & Circularity (6)
skewQ,0.0124587752223213,0.0149307838500546,trainval,0.8344354420666049,test,0.0002279128664717,0.0005985432610227,0.970556108470872,75,34,0.0213220699035094,0.0047255636379338,0.0260476335414433,8,Higher-order I/Q Stats & Circularity (6)
skewI,0.0167408322656028,0.0200624654966017,trainval,0.8344354420666049,test,-0.0014500356041162,0.0007725365157967,0.970556108470872,73,78,0.0286504242544319,-0.0300651544188685,-0.0014147301644365,8,Higher-order I/Q Stats & Circularity (6)
